%Vernier Format 2
%tyson-doublevolume-ptbr.cmbl 4/21/2005 18:29:17 .
%Latest
%Time	Signal 1	Signal 2
%t	Signal 1	Signal 2
%s	mV	mV
%
93.5	1138.59308603	264.563232198
93.75	1139.15955112	264.563232198
94	1138.59308603	264.563232198
94.25	1138.02662094	264.000326974
94.5	1138.02662094	264.000326974
94.75	1137.46015586	264.563232198
95	1137.46015586	264.563232198
95.25	1137.46015586	264.563232198
95.5	1136.32722568	264.000326974
95.75	1136.32722568	263.43742175
96	1136.32722568	264.000326974
96.25	1135.76076059	264.000326974
96.5	1135.19429551	263.43742175
96.75	1135.19429551	263.43742175
97	1135.19429551	264.000326974
97.25	1135.19429551	263.43742175
97.5	1134.62783042	264.000326974
97.75	1134.06136533	263.43742175
98	1134.06136533	264.000326974
98.25	1133.49490025	264.000326974
98.5	1133.49490025	263.43742175
98.75	1132.92843516	264.000326974
99	1132.92843516	264.000326974
99.25	1132.36197007	263.43742175
99.5	1132.36197007	263.43742175
99.75	1132.36197007	264.000326974
100	1132.36197007	264.000326974
100.25	1132.92843516	263.43742175
100.5	1131.79550499	263.43742175
100.75	1131.2290399	263.43742175
101	1131.2290399	263.43742175
101.25	1130.09610973	263.43742175
101.5	1130.09610973	262.874516526
101.75	1129.52964464	263.43742175
102	1129.52964464	263.43742175
102.25	1128.96317955	262.874516526
102.5	1129.52964464	262.874516526
102.75	1128.39671447	262.874516526
103	1128.96317955	262.311611301
103.25	1128.39671447	262.874516526
103.5	1128.39671447	262.874516526
103.75	1128.39671447	262.874516526
104	1127.83024938	262.311611301
104.25	1127.83024938	262.874516526
104.5	1126.69731921	262.874516526
104.75	1126.69731921	262.311611301
105	1126.13085412	262.311611301
105.25	1126.69731921	261.185800853
105.5	1126.13085412	262.311611301
105.75	1125.56438903	262.311611301
106	1126.13085412	262.311611301
106.25	1124.43145886	261.748706077
106.5	1124.99792395	262.311611301
106.75	1125.56438903	262.311611301
107	1124.43145886	262.311611301
107.25	1126.13085412	262.311611301
107.5	1123.86499377	262.311611301
107.75	1123.29852869	262.311611301
108	1123.29852869	262.311611301
108.25	1123.29852869	262.311611301
108.5	1123.29852869	262.311611301
108.75	1122.7320636	261.748706077
109	1122.16559851	262.311611301
109.25	1122.16559851	261.748706077
109.5	1121.59913343	261.748706077
109.75	1121.59913343	261.748706077
110	1121.03266834	261.185800853
110.25	1121.59913343	261.748706077
110.5	1121.03266834	261.748706077
110.75	1119.89973817	261.748706077
111	1119.33327308	261.185800853
111.25	1119.89973817	261.185800853
111.5	1118.76680799	261.748706077
111.75	1119.33327308	261.748706077
112	1118.76680799	261.185800853
112.25	1118.76680799	261.748706077
112.5	1117.63387782	261.185800853
112.75	1117.63387782	261.185800853
113	1118.20034291	261.185800853
113.25	1117.06741273	261.748706077
113.5	1117.06741273	261.748706077
113.75	1117.06741273	261.185800853
114	1116.50094765	260.622895629
114.25	1115.93448256	261.748706077
114.5	1115.36801747	261.185800853
114.75	1115.36801747	261.185800853
115	1115.36801747	260.622895629
115.25	1114.80155239	261.185800853
115.5	1114.80155239	261.185800853
115.75	1114.2350873	260.622895629
116	1114.2350873	260.622895629
116.25	1113.66862221	261.748706077
116.5	1113.10215713	261.185800853
116.75	1113.10215713	260.622895629
